Safeguard ID,Control Title,Safeguard Title,Implementation Group,Applicable to Our IG (Y/N),Implementation Status,Evidence Reference,Owner,Last Review Date
1.1,Inventory and Control of Enterprise Assets,Establish and Maintain Detailed Enterprise Asset Inventory,IG1,Y,Not Started,,,
1.2,Inventory and Control of Enterprise Assets,Address Unauthorized Assets,IG1,Y,Not Started,,,
1.3,Inventory and Control of Enterprise Assets,Utilize an Active Discovery Tool,IG2,,Not Started,,,
1.4,Inventory and Control of Enterprise Assets,Use Dynamic Host Configuration Protocol (DHCP) Logging to Update Enterprise Asset Inventory,IG2,,Not Started,,,
1.5,Inventory and Control of Enterprise Assets,Use a Passive Asset Discovery Tool,IG3,,Not Started,,,
2.1,Inventory and Control of Software Assets,Establish and Maintain a Software Inventory,IG1,Y,Not Started,,,
2.2,Inventory and Control of Software Assets,Ensure Authorized Software is Currently Supported,IG1,Y,Not Started,,,
2.3,Inventory and Control of Software Assets,Address Unauthorized Software,IG1,Y,Not Started,,,
2.4,Inventory and Control of Software Assets,Utilize Automated Software Inventory Tools,IG2,,Not Started,,,
2.5,Inventory and Control of Software Assets,Allowlist Authorized Software,IG2,,Not Started,,,
2.6,Inventory and Control of Software Assets,Allowlist Authorized Libraries,IG2,,Not Started,,,
2.7,Inventory and Control of Software Assets,Allowlist Authorized Scripts,IG3,,Not Started,,,
3.1,Data Protection,Establish and Maintain a Data Management Process,IG1,Y,Not Started,,,
3.2,Data Protection,Establish and Maintain a Data Inventory,IG1,Y,Not Started,,,
3.3,Data Protection,Configure Data Access Control Lists,IG1,Y,Not Started,,,
3.4,Data Protection,Enforce Data Retention,IG1,Y,Not Started,,,
3.5,Data Protection,Securely Dispose of Data,IG1,Y,Not Started,,,
3.6,Data Protection,Encrypt Data on End-User Devices,IG1,Y,Not Started,,,
3.7,Data Protection,Establish and Maintain a Data Classification Scheme,IG2,,Not Started,,,
3.8,Data Protection,Document Data Flows,IG2,,Not Started,,,
3.9,Data Protection,Encrypt Data on Removable Media,IG2,,Not Started,,,
3.10,Data Protection,Encrypt Sensitive Data in Transit,IG2,,Not Started,,,
3.11,Data Protection,Encrypt Sensitive Data at Rest,IG2,,Not Started,,,
3.12,Data Protection,Segment Data Processing and Storage Based on Sensitivity,IG2,,Not Started,,,
3.13,Data Protection,Deploy a Data Loss Prevention Solution,IG3,,Not Started,,,
3.14,Data Protection,Log Sensitive Data Access,IG3,,Not Started,,,
4.1,Secure Configuration of Enterprise Assets and Software,Establish and Maintain a Secure Configuration Process,IG1,Y,Not Started,,,
4.2,Secure Configuration of Enterprise Assets and Software,Establish and Maintain a Secure Configuration Process for Network Infrastructure,IG1,Y,Not Started,,,
4.3,Secure Configuration of Enterprise Assets and Software,Configure Automatic Session Locking on Enterprise Assets,IG1,Y,Not Started,,,
4.4,Secure Configuration of Enterprise Assets and Software,Implement and Manage a Firewall on Servers,IG1,Y,Not Started,,,
4.5,Secure Configuration of Enterprise Assets and Software,Implement and Manage a Firewall on End-User Devices,IG1,Y,Not Started,,,
4.6,Secure Configuration of Enterprise Assets and Software,Securely Manage Enterprise Assets and Software,IG1,Y,Not Started,,,
4.7,Secure Configuration of Enterprise Assets and Software,Manage Default Accounts on Enterprise Assets and Software,IG1,Y,Not Started,,,
4.8,Secure Configuration of Enterprise Assets and Software,Uninstall or Disable Unnecessary Services on Enterprise Assets and Software,IG2,,Not Started,,,
4.9,Secure Configuration of Enterprise Assets and Software,Configure Trusted DNS Servers on Enterprise Assets,IG2,,Not Started,,,
4.10,Secure Configuration of Enterprise Assets and Software,Enforce Automatic Device Lockout on Portable End-User Devices,IG2,,Not Started,,,
4.11,Secure Configuration of Enterprise Assets and Software,Enforce Remote Wipe Capability on Portable End-User Devices,IG2,,Not Started,,,
4.12,Secure Configuration of Enterprise Assets and Software,Separate Enterprise Workspaces on Mobile End-User Devices,IG3,,Not Started,,,
5.1,Account Management,Establish and Maintain an Inventory of Accounts,IG1,Y,Not Started,,,
5.2,Account Management,Use Unique Passwords,IG1,Y,Not Started,,,
5.3,Account Management,Disable Dormant Accounts,IG1,Y,Not Started,,,
5.4,Account Management,Restrict Administrator Privileges to Dedicated Administrator Accounts,IG1,Y,Not Started,,,
5.5,Account Management,Establish and Maintain an Inventory of Service Accounts,IG2,,Not Started,,,
5.6,Account Management,Centralize Account Management,IG2,,Not Started,,,
6.1,Access Control Management,Establish an Access Granting Process,IG1,Y,Not Started,,,
6.2,Access Control Management,Establish an Access Revoking Process,IG1,Y,Not Started,,,
6.3,Access Control Management,Require MFA for Externally-Exposed Applications,IG1,Y,Not Started,,,
6.4,Access Control Management,Require MFA for Remote Network Access,IG1,Y,Not Started,,,
6.5,Access Control Management,Require MFA for Administrative Access,IG1,Y,Not Started,,,
6.6,Access Control Management,Establish and Maintain an Inventory of Authentication and Authorization Systems,IG2,,Not Started,,,
6.7,Access Control Management,Centralize Access Control,IG2,,Not Started,,,
6.8,Access Control Management,Define and Maintain Role-Based Access Control,IG3,,Not Started,,,
7.1,Continuous Vulnerability Management,Establish and Maintain a Vulnerability Management Process,IG1,Y,Not Started,,,
7.2,Continuous Vulnerability Management,Establish and Maintain a Remediation Process,IG1,Y,Not Started,,,
7.3,Continuous Vulnerability Management,Perform Automated Operating System Patch Management,IG1,Y,Not Started,,,
7.4,Continuous Vulnerability Management,Perform Automated Application Patch Management,IG1,Y,Not Started,,,
7.5,Continuous Vulnerability Management,Perform Automated Vulnerability Scans of Internal Enterprise Assets,IG2,,Not Started,,,
7.6,Continuous Vulnerability Management,Perform Automated Vulnerability Scans of Externally-Exposed Enterprise Assets,IG2,,Not Started,,,
7.7,Continuous Vulnerability Management,Remediate Detected Vulnerabilities,IG2,,Not Started,,,
8.1,Audit Log Management,Establish and Maintain an Audit Log Management Process,IG1,Y,Not Started,,,
