Safeguard ID,Control Title,Safeguard Title,Evidence Reviewed,Conformance (Effective/Partially Effective/Not Effective),Finding,Exception Reference,Auditor,Audit Date
1.1,Inventory and Control of Enterprise Assets,Establish and Maintain Detailed Enterprise Asset Inventory,,,,,,
1.2,Inventory and Control of Enterprise Assets,Address Unauthorized Assets,,,,,,
1.3,Inventory and Control of Enterprise Assets,Utilize an Active Discovery Tool,,,,,,
1.4,Inventory and Control of Enterprise Assets,Use Dynamic Host Configuration Protocol (DHCP) Logging to Update Enterprise Asset Inventory,,,,,,
1.5,Inventory and Control of Enterprise Assets,Use a Passive Asset Discovery Tool,,,,,,
2.1,Inventory and Control of Software Assets,Establish and Maintain a Software Inventory,,,,,,
2.2,Inventory and Control of Software Assets,Ensure Authorized Software is Currently Supported,,,,,,
2.3,Inventory and Control of Software Assets,Address Unauthorized Software,,,,,,
2.4,Inventory and Control of Software Assets,Utilize Automated Software Inventory Tools,,,,,,
2.5,Inventory and Control of Software Assets,Allowlist Authorized Software,,,,,,
2.6,Inventory and Control of Software Assets,Allowlist Authorized Libraries,,,,,,
2.7,Inventory and Control of Software Assets,Allowlist Authorized Scripts,,,,,,
3.1,Data Protection,Establish and Maintain a Data Management Process,,,,,,
3.2,Data Protection,Establish and Maintain a Data Inventory,,,,,,
3.3,Data Protection,Configure Data Access Control Lists,,,,,,
3.4,Data Protection,Enforce Data Retention,,,,,,
3.5,Data Protection,Securely Dispose of Data,,,,,,
3.6,Data Protection,Encrypt Data on End-User Devices,,,,,,
3.7,Data Protection,Establish and Maintain a Data Classification Scheme,,,,,,
3.8,Data Protection,Document Data Flows,,,,,,
3.9,Data Protection,Encrypt Data on Removable Media,,,,,,
3.10,Data Protection,Encrypt Sensitive Data in Transit,,,,,,
3.11,Data Protection,Encrypt Sensitive Data at Rest,,,,,,
3.12,Data Protection,Segment Data Processing and Storage Based on Sensitivity,,,,,,
3.13,Data Protection,Deploy a Data Loss Prevention Solution,,,,,,
3.14,Data Protection,Log Sensitive Data Access,,,,,,
4.1,Secure Configuration of Enterprise Assets and Software,Establish and Maintain a Secure Configuration Process,,,,,,
4.2,Secure Configuration of Enterprise Assets and Software,Establish and Maintain a Secure Configuration Process for Network Infrastructure,,,,,,
4.3,Secure Configuration of Enterprise Assets and Software,Configure Automatic Session Locking on Enterprise Assets,,,,,,
4.4,Secure Configuration of Enterprise Assets and Software,Implement and Manage a Firewall on Servers,,,,,,
4.5,Secure Configuration of Enterprise Assets and Software,Implement and Manage a Firewall on End-User Devices,,,,,,
4.6,Secure Configuration of Enterprise Assets and Software,Securely Manage Enterprise Assets and Software,,,,,,
4.7,Secure Configuration of Enterprise Assets and Software,Manage Default Accounts on Enterprise Assets and Software,,,,,,
4.8,Secure Configuration of Enterprise Assets and Software,Uninstall or Disable Unnecessary Services on Enterprise Assets and Software,,,,,,
4.9,Secure Configuration of Enterprise Assets and Software,Configure Trusted DNS Servers on Enterprise Assets,,,,,,
4.10,Secure Configuration of Enterprise Assets and Software,Enforce Automatic Device Lockout on Portable End-User Devices,,,,,,
4.11,Secure Configuration of Enterprise Assets and Software,Enforce Remote Wipe Capability on Portable End-User Devices,,,,,,
4.12,Secure Configuration of Enterprise Assets and Software,Separate Enterprise Workspaces on Mobile End-User Devices,,,,,,
5.1,Account Management,Establish and Maintain an Inventory of Accounts,,,,,,
5.2,Account Management,Use Unique Passwords,,,,,,
5.3,Account Management,Disable Dormant Accounts,,,,,,
5.4,Account Management,Restrict Administrator Privileges to Dedicated Administrator Accounts,,,,,,
5.5,Account Management,Establish and Maintain an Inventory of Service Accounts,,,,,,
5.6,Account Management,Centralize Account Management,,,,,,
6.1,Access Control Management,Establish an Access Granting Process,,,,,,
6.2,Access Control Management,Establish an Access Revoking Process,,,,,,
6.3,Access Control Management,Require MFA for Externally-Exposed Applications,,,,,,
6.4,Access Control Management,Require MFA for Remote Network Access,,,,,,
6.5,Access Control Management,Require MFA for Administrative Access,,,,,,
6.6,Access Control Management,Establish and Maintain an Inventory of Authentication and Authorization Systems,,,,,,
6.7,Access Control Management,Centralize Access Control,,,,,,
6.8,Access Control Management,Define and Maintain Role-Based Access Control,,,,,,
7.1,Continuous Vulnerability Management,Establish and Maintain a Vulnerability Management Process,,,,,,
7.2,Continuous Vulnerability Management,Establish and Maintain a Remediation Process,,,,,,
7.3,Continuous Vulnerability Management,Perform Automated Operating System Patch Management,,,,,,
7.4,Continuous Vulnerability Management,Perform Automated Application Patch Management,,,,,,
7.5,Continuous Vulnerability Management,Perform Automated Vulnerability Scans of Internal Enterprise Assets,,,,,,
7.6,Continuous Vulnerability Management,Perform Automated Vulnerability Scans of Externally-Exposed Enterprise Assets,,,,,,
7.7,Continuous Vulnerability Management,Remediate Detected Vulnerabilities,,,,,,
8.1,Audit Log Management,Establish and Maintain an Audit Log Management Process,,,,,,
8.2,Audit Log Management,Collect Audit Logs,,,,,,
8.3,Audit Log Management,Ensure Adequate Audit Log Storage,,,,,,
8.4,Audit Log Management,Standardize Time Synchronization,,,,,,
8.5,Audit Log Management,Collect Detailed Audit Logs,,,,,,
8.6,Audit Log Management,Collect DNS Query Audit Logs,,,,,,
8.7,Audit Log Management,Collect URL Request Audit Logs,,,,,,
8.8,Audit Log Management,Collect Command-Line Audit Logs,,,,,,
8.9,Audit Log Management,Centralize Audit Logs,,,,,,
8.10,Audit Log Management,Retain Audit Logs,,,,,,
8.11,Audit Log Management,Conduct Audit Log Reviews,,,,,,
8.12,Audit Log Management,Collect Service Provider Logs,,,,,,
9.1,Email and Web Browser Protections,Ensure Use of Only Fully Supported Browsers and Email Clients,,,,,,
9.2,Email and Web Browser Protections,Use DNS Filtering Services,,,,,,
9.3,Email and Web Browser Protections,Maintain and Enforce Network-Based URL Filters,,,,,,
9.4,Email and Web Browser Protections,Restrict Unnecessary or Unauthorized Browser and Email Client Extensions,,,,,,
9.5,Email and Web Browser Protections,Implement DMARC,,,,,,
9.6,Email and Web Browser Protections,Block Unnecessary File Types,,,,,,
9.7,Email and Web Browser Protections,Deploy and Maintain Email Server Anti-Malware Protections,,,,,,
10.1,Malware Defenses,Deploy and Maintain Anti-Malware Software,,,,,,
10.2,Malware Defenses,Configure Automatic Anti-Malware Signature Updates,,,,,,
10.3,Malware Defenses,Disable Autorun and Autoplay for Removable Media,,,,,,
10.4,Malware Defenses,Configure Automatic Anti-Malware Scanning of Removable Media,,,,,,
10.5,Malware Defenses,Enable Anti-Exploitation Features,,,,,,
10.6,Malware Defenses,Centrally Manage Anti-Malware Software,,,,,,
10.7,Malware Defenses,Use Behavior-Based Anti-Malware Software,,,,,,
11.1,Data Recovery,Establish and Maintain a Data Recovery Process,,,,,,
11.2,Data Recovery,Perform Automated Backups,,,,,,
11.3,Data Recovery,Protect Recovery Data,,,,,,
11.4,Data Recovery,Establish and Maintain an Isolated Instance of Recovery Data,,,,,,
11.5,Data Recovery,Test Data Recovery,,,,,,
12.1,Network Infrastructure Management,Ensure Network Infrastructure is Up-to-Date,,,,,,
12.2,Network Infrastructure Management,Establish and Maintain a Secure Network Architecture,,,,,,
12.3,Network Infrastructure Management,Securely Manage Network Infrastructure,,,,,,
12.4,Network Infrastructure Management,Establish and Maintain Architecture Diagram(s),,,,,,
12.5,Network Infrastructure Management,"Centralize Network Authentication, Authorization, and Auditing (AAA)",,,,,,
12.6,Network Infrastructure Management,Use of Secure Network Management and Communication Protocols,,,,,,
12.7,Network Infrastructure Management,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise's AAA Infrastructure,,,,,,
12.8,Network Infrastructure Management,Establish and Maintain Dedicated Computing Resources for All Administrative Work,,,,,,
13.1,Network Monitoring and Defense,Centralize Security Event Alerting,,,,,,
13.2,Network Monitoring and Defense,Deploy a Host-Based Intrusion Detection Solution,,,,,,
13.3,Network Monitoring and Defense,Deploy a Network Intrusion Detection Solution,,,,,,
13.4,Network Monitoring and Defense,Perform Traffic Filtering Between Network Segments,,,,,,
13.5,Network Monitoring and Defense,Manage Access Control for Remote Assets,,,,,,
13.6,Network Monitoring and Defense,Collect Network Traffic Flow Logs,,,,,,
13.7,Network Monitoring and Defense,Deploy a Host-Based Intrusion Prevention Solution,,,,,,
13.8,Network Monitoring and Defense,Deploy a Network Intrusion Prevention Solution,,,,,,
13.9,Network Monitoring and Defense,Deploy Port-Level Access Control,,,,,,
13.10,Network Monitoring and Defense,Perform Application Layer Filtering,,,,,,
13.11,Network Monitoring and Defense,Tune Security Event Alerting Thresholds,,,,,,
14.1,Security Awareness and Skills Training,Establish and Maintain a Security Awareness Program,,,,,,
14.2,Security Awareness and Skills Training,Train Workforce Members to Recognize Social Engineering Attacks,,,,,,
14.3,Security Awareness and Skills Training,Train Workforce Members on Authentication Best Practices,,,,,,
14.4,Security Awareness and Skills Training,Train Workforce on Data Handling Best Practices,,,,,,
14.5,Security Awareness and Skills Training,Train Workforce Members on Causes of Unintentional Data Exposure,,,,,,
14.6,Security Awareness and Skills Training,Train Workforce Members on Recognizing and Reporting Security Incidents,,,,,,
14.7,Security Awareness and Skills Training,Train Workforce on How to Identify and Report if Their Enterprise Assets are Missing Security Updates,,,,,,
