Subcategory ID,Function,Category,Title,Current Tier,Target Tier,Gap Description,Implementation Status,Evidence Reference,Owner,Last Review Date
GV.OC-01,GOVERN (GV),GV.OC Organizational Context,Organizational Context,,,,Not Started,,,
GV.OC-02,GOVERN (GV),GV.OC Organizational Context,Organizational Context,,,,Not Started,,,
GV.OC-03,GOVERN (GV),GV.OC Organizational Context,Organizational Context,,,,Not Started,,,
GV.OC-04,GOVERN (GV),GV.OC Organizational Context,Organizational Context,,,,Not Started,,,
GV.OC-05,GOVERN (GV),GV.OC Organizational Context,Organizational Context,,,,Not Started,,,
GV.RM-01,GOVERN (GV),GV.RM Risk Management Strategy,Risk Management Strategy,,,,Not Started,,,
GV.RM-02,GOVERN (GV),GV.RM Risk Management Strategy,Risk Management Strategy,,,,Not Started,,,
GV.RM-03,GOVERN (GV),GV.RM Risk Management Strategy,Risk Management Strategy,,,,Not Started,,,
GV.RM-04,GOVERN (GV),GV.RM Risk Management Strategy,Risk Management Strategy,,,,Not Started,,,
GV.RM-05,GOVERN (GV),GV.RM Risk Management Strategy,Risk Management Strategy,,,,Not Started,,,
GV.RM-06,GOVERN (GV),GV.RM Risk Management Strategy,Risk Management Strategy,,,,Not Started,,,
GV.RM-07,GOVERN (GV),GV.RM Risk Management Strategy,Risk Management Strategy,,,,Not Started,,,
GV.RR-01,GOVERN (GV),"GV.RR Roles, Responsibilities, and Authorities","Roles, Responsibilities, and Authorities",,,,Not Started,,,
GV.RR-02,GOVERN (GV),"GV.RR Roles, Responsibilities, and Authorities","Roles, Responsibilities, and Authorities",,,,Not Started,,,
GV.RR-03,GOVERN (GV),"GV.RR Roles, Responsibilities, and Authorities","Roles, Responsibilities, and Authorities",,,,Not Started,,,
GV.RR-04,GOVERN (GV),"GV.RR Roles, Responsibilities, and Authorities","Roles, Responsibilities, and Authorities",,,,Not Started,,,
GV.PO-01,GOVERN (GV),GV.PO Policy,Policy,,,,Not Started,,,
GV.PO-02,GOVERN (GV),GV.PO Policy,Policy,,,,Not Started,,,
GV.OV-01,GOVERN (GV),GV.OV Oversight,Oversight,,,,Not Started,,,
GV.OV-02,GOVERN (GV),GV.OV Oversight,Oversight,,,,Not Started,,,
GV.OV-03,GOVERN (GV),GV.OV Oversight,Oversight,,,,Not Started,,,
GV.SC-01,GOVERN (GV),GV.SC Cybersecurity Supply Chain Risk Management,Cybersecurity Supply Chain Risk Management,,,,Not Started,,,
GV.SC-02,GOVERN (GV),GV.SC Cybersecurity Supply Chain Risk Management,Cybersecurity Supply Chain Risk Management,,,,Not Started,,,
