Subcategory ID,Function,Category,Title,Evidence Reviewed,Conformance (Conform/Nonconform/Partial),Finding,Corrective Action Ref,Auditor,Audit Date
GV.OC-01,GOVERN (GV),GV.OC Organizational Context,Organizational Context,,,,,,
GV.OC-02,GOVERN (GV),GV.OC Organizational Context,Organizational Context,,,,,,
GV.OC-03,GOVERN (GV),GV.OC Organizational Context,Organizational Context,,,,,,
GV.OC-04,GOVERN (GV),GV.OC Organizational Context,Organizational Context,,,,,,
GV.OC-05,GOVERN (GV),GV.OC Organizational Context,Organizational Context,,,,,,
GV.RM-01,GOVERN (GV),GV.RM Risk Management Strategy,Risk Management Strategy,,,,,,
GV.RM-02,GOVERN (GV),GV.RM Risk Management Strategy,Risk Management Strategy,,,,,,
GV.RM-03,GOVERN (GV),GV.RM Risk Management Strategy,Risk Management Strategy,,,,,,
GV.RM-04,GOVERN (GV),GV.RM Risk Management Strategy,Risk Management Strategy,,,,,,
GV.RM-05,GOVERN (GV),GV.RM Risk Management Strategy,Risk Management Strategy,,,,,,
GV.RM-06,GOVERN (GV),GV.RM Risk Management Strategy,Risk Management Strategy,,,,,,
GV.RM-07,GOVERN (GV),GV.RM Risk Management Strategy,Risk Management Strategy,,,,,,
GV.RR-01,GOVERN (GV),"GV.RR Roles, Responsibilities, and Authorities","Roles, Responsibilities, and Authorities",,,,,,
GV.RR-02,GOVERN (GV),"GV.RR Roles, Responsibilities, and Authorities","Roles, Responsibilities, and Authorities",,,,,,
GV.RR-03,GOVERN (GV),"GV.RR Roles, Responsibilities, and Authorities","Roles, Responsibilities, and Authorities",,,,,,
GV.RR-04,GOVERN (GV),"GV.RR Roles, Responsibilities, and Authorities","Roles, Responsibilities, and Authorities",,,,,,
GV.PO-01,GOVERN (GV),GV.PO Policy,Policy,,,,,,
GV.PO-02,GOVERN (GV),GV.PO Policy,Policy,,,,,,
GV.OV-01,GOVERN (GV),GV.OV Oversight,Oversight,,,,,,
GV.OV-02,GOVERN (GV),GV.OV Oversight,Oversight,,,,,,
GV.OV-03,GOVERN (GV),GV.OV Oversight,Oversight,,,,,,
GV.SC-01,GOVERN (GV),GV.SC Cybersecurity Supply Chain Risk Management,Cybersecurity Supply Chain Risk Management,,,,,,
GV.SC-02,GOVERN (GV),GV.SC Cybersecurity Supply Chain Risk Management,Cybersecurity Supply Chain Risk Management,,,,,,
GV.SC-03,GOVERN (GV),GV.SC Cybersecurity Supply Chain Risk Management,Cybersecurity Supply Chain Risk Management,,,,,,
GV.SC-04,GOVERN (GV),GV.SC Cybersecurity Supply Chain Risk Management,Cybersecurity Supply Chain Risk Management,,,,,,
GV.SC-05,GOVERN (GV),GV.SC Cybersecurity Supply Chain Risk Management,Cybersecurity Supply Chain Risk Management,,,,,,
GV.SC-06,GOVERN (GV),GV.SC Cybersecurity Supply Chain Risk Management,Cybersecurity Supply Chain Risk Management,,,,,,
GV.SC-07,GOVERN (GV),GV.SC Cybersecurity Supply Chain Risk Management,Cybersecurity Supply Chain Risk Management,,,,,,
GV.SC-08,GOVERN (GV),GV.SC Cybersecurity Supply Chain Risk Management,Cybersecurity Supply Chain Risk Management,,,,,,
GV.SC-09,GOVERN (GV),GV.SC Cybersecurity Supply Chain Risk Management,Cybersecurity Supply Chain Risk Management,,,,,,
GV.SC-10,GOVERN (GV),GV.SC Cybersecurity Supply Chain Risk Management,Cybersecurity Supply Chain Risk Management,,,,,,
ID.AM-01,IDENTIFY (ID),ID.AM Asset Management,Asset Management,,,,,,
ID.AM-02,IDENTIFY (ID),ID.AM Asset Management,Asset Management,,,,,,
ID.AM-03,IDENTIFY (ID),ID.AM Asset Management,Asset Management,,,,,,
ID.AM-04,IDENTIFY (ID),ID.AM Asset Management,Asset Management,,,,,,
ID.AM-05,IDENTIFY (ID),ID.AM Asset Management,Asset Management,,,,,,
ID.AM-07,IDENTIFY (ID),ID.AM Asset Management,Asset Management,,,,,,
ID.AM-08,IDENTIFY (ID),ID.AM Asset Management,Asset Management,,,,,,
ID.RA-01,IDENTIFY (ID),ID.RA Risk Assessment,Risk Assessment,,,,,,
ID.RA-02,IDENTIFY (ID),ID.RA Risk Assessment,Risk Assessment,,,,,,
ID.RA-03,IDENTIFY (ID),ID.RA Risk Assessment,Risk Assessment,,,,,,
ID.RA-04,IDENTIFY (ID),ID.RA Risk Assessment,Risk Assessment,,,,,,
ID.RA-05,IDENTIFY (ID),ID.RA Risk Assessment,Risk Assessment,,,,,,
ID.RA-06,IDENTIFY (ID),ID.RA Risk Assessment,Risk Assessment,,,,,,
ID.RA-07,IDENTIFY (ID),ID.RA Risk Assessment,Risk Assessment,,,,,,
ID.RA-08,IDENTIFY (ID),ID.RA Risk Assessment,Risk Assessment,,,,,,
ID.RA-09,IDENTIFY (ID),ID.RA Risk Assessment,Risk Assessment,,,,,,
ID.RA-10,IDENTIFY (ID),ID.RA Risk Assessment,Risk Assessment,,,,,,
ID.IM-01,IDENTIFY (ID),ID.IM Improvement,Improvement,,,,,,
ID.IM-02,IDENTIFY (ID),ID.IM Improvement,Improvement,,,,,,
ID.IM-03,IDENTIFY (ID),ID.IM Improvement,Improvement,,,,,,
ID.IM-04,IDENTIFY (ID),ID.IM Improvement,Improvement,,,,,,
PR.AA-01,PROTECT (PR),"PR.AA Identity Management, Authentication, and Access Control","Identity Management, Authentication, and Access Control",,,,,,
PR.AA-02,PROTECT (PR),"PR.AA Identity Management, Authentication, and Access Control","Identity Management, Authentication, and Access Control",,,,,,
